Priority,Key,Status,Assignee,Created,VendorCR,Summary
B,MONMTK-678,Open,stan_chang,2024-03-05T18:02:21.570+0800,https://amtran.atlassian.net/browse/XG32WCMS63-217,"[XG32WCMS] 使用ASUS笔记本FA507,在Typec source 下，连接780M，分辨率1600x1220@60hz切换到1920x1080@60hz，屏幕右边画面卡顿"
B,MONMTK-696,Open,stan_chang,2024-03-08T14:39:01.278+0800,https://amtran.atlassian.net/browse/XG32WCMS63-297,[XG32WCMS] 在ELMB Setup選單中，設定Clarity Position下的Top、Middle、Buttom，無對應反映。
B,MONMTK-709,Open,stan_chang,2024-03-11T17:32:56.372+0800,https://amtran.atlassian.net/browse/XG32WCMS63-87,[XG32WCMS] 机台ELMB SYNC开启时，机台中提示语与OSD TREE上不同
B,MONMTK-706,Open,stan_chang,2024-03-11T16:28:09.416+0800,https://amtran.atlassian.net/browse/XG32WCMS63-388,[XG32WCMS] HDR Setting 細項的明细机台OSD/OSDtree菜单与 OSD Gaming Header Definition中的项目不同
B,MONMTK-690,Open,stan_chang,2024-03-07T11:17:38.387+0800,,[XG32WCMS]PIP/PBP模式下，使用自訂設定Save後，離開PIP/PBP模式，此時Load設定無法切換到PIP/PBP模式。
B,MONMTK-638,Reopened,stan_chang,2024-02-26T13:29:34.446+0800,,[XG32WCMS]在DP source 下，插拔type c 信號時沒有跳出INPUT MINI OSD選單
B,MONMTK-669,Open,stan_chang,2024-03-05T09:46:09.648+0800,,[XG32WCMS]拔除Type C Source時，Input選單的Type C選項一直到Time out都沒消失，再次叫出INPUT選單時才消失。
B,MONMTK-598,Reopened,stan_chang,2024-02-05T16:13:05.909+0800,XG32WCMS63-168,[XG32WCMS]切換到越南文，選單亂碼
B,MONMTK-702,Open,stan_chang,2024-03-11T10:26:47.840+0800,https://amtran.atlassian.net/browse/XG32WCMS63-290,[XG32WCMS]HDR模式下，Display port 1.2不應該可以選擇，與OSD tree不符。
B,MONMTK-666,Open,stan_chang,2024-03-04T17:59:53.858+0800,https://amtran.atlassian.net/browse/XG32WCMS63-266,[XG32WCMS]在Color Temp功能下使用User Mode調整RGB之後使用All Reset，RGB數值恢復但顏色沒變。
B,MONMTK-657,Open,stan_chang,2024-03-03T00:19:12.710+0800,https://amtran.atlassian.net/browse/XG32WCMS63-322,[XG32WCMS] 语言调节到Bahasa Indonesia(印度尼西亚语)，System Setup字体显示超出
B,MONMTK-628,Open,stan_chang,2024-02-22T13:32:38.316+0800,https://amtran.atlassian.net/browse/XG32WCMS63-188,[XG32WCMS]核對語言翻譯錯誤
B,MONMTK-731,Open,stan_chang,2024-03-14T20:23:23.700+0800,,[XG32WCMS] [SYS] DisplayWidgetCenter 缺失 2 VCP commands
C,MONMTK-729,Open,stan_chang,2024-03-14T13:26:32.621+0800,,[XG32WCMS]PBP移除主畫面Source時，開啟OSD選單錯誤。
C,MONMTK-714,Open,stan_chang,2024-03-13T10:39:13.883+0800,https://amtran.atlassian.net/browse/XG32WCMS63-377,"[XG32WCMS]DP source 連接3080 ,播放音樂，3840X2160@60HZ（HDR）下，關閉HDR，切換過程中依然有聲音輸出。"
C,MONMTK-608,Open,stan_chang,2024-02-15T11:02:15.191+0800,https://amtran.atlassian.net/browse/XG32WCMS63-102,"[XG32WCMS]""""Timer-Out"""" Behavior for Key Menu / Key Menu + Main Menu 錯誤"
C,MONMTK-600,Open,stan_chang,2024-02-05T17:14:46.003+0800,,[XG32WCMS]13種以上語種的Display Alignment的翻譯亂碼
C,MONMTK-703,Open,stan_chang,2024-03-11T13:09:26.722+0800,https://amtran.atlassian.net/browse/XG32WCMS63-252,[XG32WCMS]連接20m的HDMI線的時候，無法出畫且留在待機(橘燈)。
